Country,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua and Barbuda,ATG,4.340850519,-6.037663834,-0.373817347,4.721680697,4.403260934,5.016485291,11.00080029,7.605968396,-1.612584381,-13.33182584,-9.187966715,-3.298786215,2.049933173,-1.798966587,2.616052309,2.705718436,4.437253324,2.166114044,5.932276282,3.96278456,-20.85493493
Australia,AUS,2.680864996,0.671692882,2.7526795,1.845765496,3.004314914,1.807784024,1.222561054,3.122288586,1.521969537,-0.21120115,0.595353727,1.055747877,2.118897029,0.849416993,1.044489641,0.712256478,1.149347464,0.587161103,1.302840712,0.571102988,-1.254598269
Austria,AUT,3.12743665,0.880259098,1.152676331,0.450946527,2.099711169,1.549877317,2.943417859,3.391730827,1.143307119,-4.016340042,1.592577128,2.576448318,0.222450577,-0.562298943,-0.122370667,-0.11154019,0.89246914,1.550724086,2.003552524,1.04090812,-7.124479726
Azerbaijan,AZE,10.19102962,9.051822301,8.625351139,9.37646097,8.301538012,26.66009473,33.03048777,23.59068556,8.457450219,7.050602254,3.806491073,-1.195843098,0.816684084,4.4500202,1.475937152,-0.103121434,-4.177171798,-0.778416066,0.624486168,1.635850414,-4.952701637
Burundi,BDI,-2.593559293,-0.238106,1.664464582,-4.155108941,1.562578136,-2.294461494,2.046914102,0.104847755,1.456551173,0.455731439,1.756244616,0.74848923,1.198012892,1.687375305,1.021626356,-6.886404541,-3.708334877,-2.646778209,-1.557543455,-1.294768236,-2.740708463
Belgium,BEL,3.465452571,0.75248291,1.251984606,0.61587978,3.123928918,1.760455594,1.8781832,2.918338349,-0.343452718,-2.80592074,1.928764196,0.38003457,0.116402578,-0.013148386,1.128595725,1.451893368,0.755268919,1.228866236,1.356791445,1.598970017,-6.206770308
Benin,BEN,2.745725782,2.195763603,1.506465248,0.346606024,1.337933772,-1.245889709,0.975162118,3.004154076,1.976221564,-0.515289133,-0.711405268,0.116989314,1.919536798,4.24138004,3.439491778,-1.004234539,0.525130743,2.805281504,3.818783343,4.003089135,1.090098527
Burkina Faso,BFA,-0.966443019,3.608687569,1.39456834,4.722709597,1.464089377,5.493492362,3.124248282,1.022406824,2.647568317,-0.107459606,5.220991699,3.462030917,3.309202511,2.684768015,1.28212747,0.911075763,2.913665585,3.177360753,3.591634808,2.724072125,-0.907160523
Bangladesh,BGD,3.257496507,3.113805997,1.960394887,2.941850091,3.55335866,4.965840614,5.24454106,5.753407226,4.806176198,3.878500674,4.390962886,5.253547153,5.29926033,4.79519609,4.85575647,5.366866159,5.946678284,6.136478312,6.733298633,7.045288761,2.476359852
Bulgaria,BGR,5.10505562,5.911159599,8.195215514,6.074062384,7.317405526,7.865500223,7.616849629,7.37801683,6.863490701,-2.646640961,2.212431063,2.758011774,1.340217109,-0.00242338,1.542387921,4.090107686,3.765068555,3.515538335,3.428724777,4.772502064,-3.811515942
